year,geo_name,geo,child_mortality
2016,"Williamsburg County","05000US45089",94.1
2017,"Northampton County","05000US37131",94.0
2016,"Knox County","05000US21121",94.0
2016,"Lawrence County","05000US17101",94.0
2015,"Orangeburg County","05000US45075",93.8
2017,"Caddo County","05000US40015",93.8
2015,"Switzerland County","05000US18155",93.8
2016,"Casey County","05000US21045",93.8
2017,"Crawford County","05000US13079",93.7
2017,"Lauderdale County","05000US47097",93.7
2015,"East Baton Rouge Parish, LA","05000US22033",93.7
2016,"Lauderdale County","05000US28075",93.6
2017,"Union Parish","05000US22111",93.6
2016,"Jefferson County, AL","05000US01073",93.5
2017,"Holmes County","05000US12059",93.5
2015,"Conway County","05000US05029",93.4
2017,"Ben Hill County","05000US13017",93.4
2015,"Robeson County, NC","05000US37155",93.4
2015,"Madison County","05000US29123",93.4
2017,"Prowers County","05000US08099",93.3
2017,"Yuma County","05000US08125",93.3
2015,"Hinds County, MS","05000US28049",93.2
2017,"Grant Parish","05000US22043",93.2
2015,"Assumption Parish","05000US22007",93.2
2015,"Butler County","05000US21031",93.1
2015,"Union County","05000US19175",93.1
2017,"Starke County","05000US18149",93.1
2017,"Geary County","05000US20061",93.0
2017,"McKenzie County","05000US38053",93.0
2017,"Danville city","05000US51590",92.9
2015,"Zapata County","05000US48505",92.9
2015,"Knox County","05000US21121",92.8
2016,"Zapata County","05000US48505",92.8
2015,"Haskell County","05000US40061",92.8
2016,"Newport News city, VA","05000US51700",92.8
2015,"Baker County","05000US12003",92.8
2015,"Bamberg County","05000US45009",92.7
2016,"Colorado County","05000US48089",92.7
2016,"Fountain County","05000US18045",92.7
2016,"Colfax County","05000US35007",92.7
2016,"Cannon County","05000US47015",92.6
2017,"Gilchrist County","05000US12041",92.6
2017,"Jerome County","05000US16053",92.6
2016,"Pointe Coupee Parish","05000US22077",92.6
2017,"Franklin County","05000US13119",92.5
2017,"Mifflin County","05000US42087",92.5
2015,"Muhlenberg County","05000US21177",92.5
2016,"Northampton County","05000US37131",92.4
2015,"Bibb County, GA","05000US13021",92.4
2015,"Texas County","05000US29215",92.4
2016,"Swain County","05000US37173",92.3
2016,"East Baton Rouge Parish, LA","05000US22033",92.3
2017,"Apache County","05000US04001",92.3
2015,"Butler County","05000US29023",92.3
2015,"Poinsett County","05000US05111",92.3
2016,"Lee County","05000US45061",92.2
2016,"Madison Parish","05000US22065",92.2
2016,"Washita County","05000US40149",92.2
2015,"Orleans Parish, LA","05000US22071",92.1
2015,"Northwest Arctic Borough","05000US02188",92.1
2017,"Attala County","05000US28007",92.1
2017,"Abbeville County","05000US45001",92.0
2015,"Jones County","05000US28067",91.9
2015,"Abbeville County","05000US45001",91.8
2015,"Perquimans County","05000US37143",91.7
2017,"Redwood County","05000US27127",91.7
2016,"Ottawa County","05000US40115",91.7
2017,"Cumberland County, NC","05000US37051",91.7
2015,"Philadelphia County, PA","05000US42101",91.7
2016,"McDonald County","05000US29119",91.7
2016,"Scott County","05000US28123",91.7
2015,"Perry County","05000US21193",91.6
2017,"Pike County","05000US01109",91.6
2017,"Orangeburg County","05000US45075",91.6
2016,"Smith County","05000US28129",91.5
2017,"Shelby County","05000US48419",91.5
2015,"Preston County","05000US54077",91.5
2017,"Muhlenberg County","05000US21177",91.5
2015,"Montgomery County, AL","05000US01101",91.5
2017,"Floyd County","05000US21071",91.4
2015,"Yalobusha County","05000US28161",91.3
2017,"Harrison County","05000US39067",91.3
2015,"Lincoln County","05000US28085",91.3
2015,"Beckham County","05000US40009",91.2
2017,"Phillips County","05000US05107",91.2
2017,"Scott County","05000US18143",91.1
2016,"Fannin County","05000US13111",91.1
2016,"Cross County","05000US05037",91.1
2016,"Bibb County, GA","05000US13021",91.1
2016,"Arkansas County","05000US05001",91.1
2016,"Jefferson Davis County","05000US28065",91.1
2017,"De Witt County","05000US17039",91.1
2015,"Carroll County","05000US21041",91.1
2016,"Chattooga County","05000US13055",91.0
2016,"Hardeman County","05000US47069",91.0
2016,"Las Animas County","05000US08071",91.0
2017,"McIntosh County","05000US40091",90.9
2016,"Washington County","05000US18175",90.9
2016,"Assumption Parish","05000US22007",90.9
2015,"Mitchell County","05000US13205",90.9
2016,"Burke County","05000US13033",90.8
2016,"Lauderdale County","05000US47097",90.8
2016,"Hardin County","05000US47071",90.8
2017,"Adams County","05000US39001",90.8
2017,"Llano County","05000US48299",90.7
2015,"Marion County","05000US01093",90.7
2017,"Carroll County","05000US21041",90.6
2016,"Iosco County","05000US26069",90.6
2017,"Hughes County","05000US46065",90.5
2015,"Baxter County","05000US05005",90.5
2017,"Jasper County","05000US28061",90.5
2015,"Fremont County","05000US56013",90.5
2015,"Floyd County","05000US21071",90.5
2016,"Bradford County","05000US12007",90.5
2017,"Baltimore city, MD","05000US24510",90.4
2015,"Scott County","05000US51169",90.4
2017,"Lawrence County","05000US28077",90.3
2017,"Texas County","05000US29215",90.3
2015,"Butts County","05000US13035",90.2
2017,"Jefferson County, AL","05000US01073",90.2
2016,"Clark County","05000US05019",90.2
2017,"Washington County","05000US01129",90.1
2017,"Warren County","05000US28149",90.1
2015,"Cass County","05000US18017",90.1
2016,"Caddo County","05000US40015",90.1
2017,"Webster County","05000US29225",90.0
2017,"Vinton County","05000US39163",90.0
2016,"Gallia County","05000US39053",90.0
2015,"Wayne County","05000US13305",90.0
2016,"Florence County, SC","05000US45041",89.9
2017,"Sevier County","05000US05133",89.9
2015,"Henry County","05000US01067",89.8
2015,"Jackson County","05000US17077",89.7
2016,"District of Columbia, DC","05000US11001",89.7
2015,"Dent County","05000US29065",89.6
2016,"Monroe County","05000US01099",89.6
2017,"Tyler County","05000US48457",89.6
2016,"Hinds County, MS","05000US28049",89.5
2015,"Dyer County","05000US47045",89.5
2015,"Darlington County","05000US45031",89.5
2015,"Caswell County","05000US37033",89.5
2017,"Vilas County","05000US55125",89.4
2015,"Marion County","05000US20115",89.4
2016,"Prowers County","05000US08099",89.4
2015,"Vermilion County","05000US17183",89.4
2015,"Gunnison County","05000US08051",89.3
2015,"Reeves County","05000US48389",89.3
2016,"Sevier County","05000US05133",89.3
2015,"Upshur County","05000US48459",89.3
2015,"Carter County","05000US47019",89.2
2016,"Reeves County","05000US48389",89.1
2017,"Hopewell city","05000US51670",89.0
2016,"Mercer County","05000US17131",89.0
2016,"Stone County","05000US28131",89.0
2017,"Christian County","05000US21047",89.0
2015,"Winchester city","05000US51840",88.9
2016,"West Carroll Parish","05000US22123",88.9
2017,"Yazoo County","05000US28163",88.8
2017,"Gallia County","05000US39053",88.7
