year,geo_name,geo,mean_commute_minutes
2015,"Van Zandt County","05000US48467",32.6176
2014,"Ohio County","05000US18115",32.6077
2015,"Montgomery County, MD","05000US24031",32.5958
2014,"Amelia County","05000US51007",32.5837
2013,"Washington County","05000US29221",32.5704
2013,"Amelia County","05000US51007",32.555
2015,"Calhoun County","05000US54013",32.5548
2014,"Jim Hogg County","05000US48247",32.5509
2015,"Lawrence County","05000US21127",32.5414
2013,"Lincoln County","05000US54043",32.537
2015,"Queen Anne's County","05000US24035",32.5315
2015,"Essex County, NJ","05000US34013",32.5214
2013,"Grimes County","05000US48185",32.494
2015,"Talbot County","05000US13263",32.4929
2013,"Frederick County, MD","05000US24021",32.489
2013,"Grainger County","05000US47057",32.4806
2015,"Perry County","05000US39127",32.4777
2014,"Bastrop County","05000US48021",32.4741
2014,"Montgomery County, MD","05000US24031",32.4462
2015,"Wakulla County","05000US12129",32.4328
2013,"Pearl River County","05000US28109",32.4217
2013,"Caldwell Parish","05000US22021",32.4121
2014,"Vega Baja Municipio","05000US72145",32.4105
2015,"Marion County","05000US28091",32.3983
2013,"Jefferson Davis County","05000US28065",32.39
2015,"McHenry County, IL","05000US17111",32.3878
2014,"Leake County","05000US28079",32.3843
2015,"Clarke County","05000US51043",32.3747
2015,"Cannon County","05000US47015",32.3687
2014,"Monroe County","05000US54063",32.3635
2013,"Orocovis Municipio","05000US72107",32.3629
2014,"Searcy County","05000US05129",32.3529
2013,"Robertson County","05000US21201",32.346
2015,"Isanti County","05000US27059",32.344
2015,"Lapeer County","05000US26087",32.341
2014,"Marion County","05000US28091",32.3326
2015,"Brown County","05000US18013",32.3149
2015,"Naguabo Municipio","05000US72103",32.3084
2013,"Montgomery County, MD","05000US24031",32.3052
2013,"Barrow County","05000US13013",32.2979
2014,"Bollinger County","05000US29017",32.2858
2014,"Contra Costa County, CA","05000US06013",32.2802
2015,"Tyler County","05000US48457",32.2624
2014,"Manassas city","05000US51683",32.2588
2013,"Jackson County","05000US21109",32.2531
2015,"Perry County","05000US05105",32.2383
2015,"Morgan County","05000US54065",32.2268
2014,"Caroline County","05000US24011",32.2168
2013,"Morgan County","05000US54065",32.2018
2015,"Washington County","05000US01129",32.1878
2013,"Caswell County","05000US37033",32.1811
2013,"Cumberland County","05000US51049",32.1802
2014,"Page County","05000US51139",32.1794
2014,"Colleton County","05000US45029",32.1728
2015,"Cleburne County","05000US01029",32.1689
2015,"Caguas Municipio, PR","05000US72025",32.1653
2014,"Spencer County","05000US21215",32.1629
2013,"Leake County","05000US28079",32.1471
2015,"Carolina Municipio, PR","05000US72031",32.1457
2013,"Grant Parish","05000US22043",32.1429
2014,"Queen Anne's County","05000US24035",32.1354
2014,"Perry County","05000US05105",32.132
2014,"Benton County","05000US28009",32.1262
2013,"Estill County","05000US21065",32.1205
2013,"Spencer County","05000US21215",32.1148
2014,"Essex County, NJ","05000US34013",32.1121
2015,"Matanuska-Susitna Borough","05000US02170",32.1031
2015,"Jim Hogg County","05000US48247",32.1026
2015,"Utuado Municipio","05000US72141",32.0897
2013,"Caroline County","05000US24011",32.0781
2014,"Barrow County","05000US13013",32.076
2013,"Barbour County","05000US54001",32.0692
2015,"East Feliciana Parish","05000US22037",32.0499
2015,"Spencer County","05000US21215",32.0449
2015,"Kaufman County, TX","05000US48257",32.0351
2015,"Washington Parish","05000US22117",32.0259
2014,"Switzerland County","05000US18155",32.0217
2013,"Lincoln County","05000US13181",32.0169
2015,"Union Parish","05000US22111",31.9985
2013,"King William County","05000US51101",31.9782
2014,"McHenry County, IL","05000US17111",31.9748
2015,"Colleton County","05000US45029",31.9702
2013,"Crawford County","05000US18025",31.9648
2014,"Calaveras County","05000US06009",31.9603
2013,"Caguas Municipio, PR","05000US72025",31.9585
2013,"Van Zandt County","05000US48467",31.9564
2015,"Bastrop County","05000US48021",31.9559
2015,"Monroe County","05000US39111",31.9418
2015,"Kendall County, IL","05000US17093",31.9393
2014,"Edmonson County","05000US21061",31.9362
2013,"Kendall County, IL","05000US17093",31.9339
2014,"Cleburne County","05000US01029",31.9287
2015,"Vega Baja Municipio","05000US72145",31.9196
2013,"McHenry County, IL","05000US17111",31.9159
2014,"Roane County","05000US54087",31.9099
2013,"San Lorenzo Municipio","05000US72129",31.9028
2014,"Carolina Municipio, PR","05000US72031",31.897
2013,"Monmouth County, NJ","05000US34025",31.8714
2013,"Bledsoe County","05000US47007",31.8711
2014,"Washington County","05000US01129",31.8692
2013,"Gloucester County","05000US51073",31.861
2015,"Monmouth County, NJ","05000US34025",31.8587
2014,"Caguas Municipio, PR","05000US72025",31.8462
2013,"Carolina Municipio, PR","05000US72031",31.8411
2013,"Marion County","05000US28091",31.8374
2014,"Orange County, NY","05000US36071",31.8357
2014,"Gloucester County","05000US51073",31.8265
2014,"Grainger County","05000US47057",31.8256
2014,"Monmouth County, NJ","05000US34025",31.8253
2013,"Tyler County","05000US48457",31.8156
2013,"Henry County, GA","05000US13151",31.8032
2014,"Monroe County","05000US39111",31.8022
2014,"Tipton County","05000US47167",31.797
2014,"Lapeer County","05000US26087",31.7943
2014,"Adams County","05000US39001",31.788
2015,"Twiggs County","05000US13289",31.7637
2015,"Ciales Municipio","05000US72039",31.7562
2015,"Hampton County","05000US45049",31.7326
2015,"Trinity County","05000US48455",31.7289
2015,"Tipton County","05000US47167",31.7269
2014,"Fluvanna County","05000US51065",31.721
2013,"Fayette County","05000US47047",31.7184
2015,"Barrow County","05000US13013",31.7081
2013,"Queen Anne's County","05000US24035",31.7059
2013,"Floyd County","05000US51063",31.7042
2015,"Page County","05000US51139",31.7015
2015,"Benton County","05000US28009",31.6917
2013,"Orange County, NY","05000US36071",31.6862
2015,"Fayette County","05000US47047",31.6803
2015,"Newton County","05000US18111",31.6796
2014,"Matanuska-Susitna Borough","05000US02170",31.6792
2015,"Middlesex County, NJ","05000US34023",31.6589
2013,"Wyoming County","05000US54109",31.6521
2013,"Fulton County","05000US42057",31.652
2013,"Owen County","05000US18119",31.6266
2014,"Washington Parish","05000US22117",31.6209
2013,"Tipton County","05000US47167",31.617
2014,"King William County","05000US51101",31.6156
2014,"Boise County","05000US16015",31.6151
2014,"Morgan County","05000US39115",31.6119
2014,"Caldwell County","05000US29025",31.5994
2015,"Grainger County","05000US47057",31.5771
2014,"Bledsoe County","05000US47007",31.576
2014,"Will County, IL","05000US17197",31.5757
2014,"Choctaw County","05000US01023",31.5735
2015,"Sabine Parish","05000US22085",31.5698
2013,"Manatí Municipio","05000US72091",31.5688
2015,"Caroline County","05000US24011",31.5662
2014,"Middlesex County, NJ","05000US34023",31.5437
2015,"Orange County, NY","05000US36071",31.5394
2014,"Aguas Buenas Municipio","05000US72007",31.5353
2013,"Meigs County","05000US47121",31.5336
2014,"Wyoming County","05000US54109",31.5317
2013,"Ohio County","05000US18115",31.5292
2015,"Philadelphia County, PA","05000US42101",31.5247
2014,"Chilton County","05000US01021",31.5187
2015,"King William County","05000US51101",31.5093
2013,"Sequatchie County","05000US47153",31.506
2015,"Powhatan County","05000US51145",31.5019
2015,"Grant Parish","05000US22043",31.5009
2014,"Jackson County","05000US47087",31.498
2013,"Will County, IL","05000US17197",31.4912
2015,"Henry County, GA","05000US13151",31.4853
2015,"Linn County","05000US20107",31.4716
2014,"Grand Isle County","05000US50013",31.4631
2014,"Isanti County","05000US27059",31.4613
2013,"Madison County","05000US51113",31.4584
2015,"Luquillo Municipio","05000US72089",31.4559
2014,"Sequatchie County","05000US47153",31.4457
2015,"Essex County","05000US51057",31.4441
2014,"Kendall County, IL","05000US17093",31.4355
2015,"Gloucester County","05000US51073",31.4207
2013,"Contra Costa County, CA","05000US06013",31.4197
2014,"Houston County","05000US47083",31.4192
2013,"Essex County, NJ","05000US34013",31.4115
2015,"Fluvanna County","05000US51065",31.4107
2014,"Calhoun County","05000US54013",31.4098
2014,"Lincoln County","05000US13181",31.396
2015,"Chilton County","05000US01021",31.3884
2015,"Sequatchie County","05000US47153",31.3879
2013,"Lapeer County","05000US26087",31.3871
2013,"Kanabec County","05000US27065",31.3806
2014,"Fulton County","05000US42057",31.3798
2015,"Live Oak County","05000US48297",31.3797
2013,"Washington County","05000US01129",31.37
2015,"Garrard County","05000US21079",31.3676
2015,"Marion County","05000US13197",31.3501
2015,"Owen County","05000US18119",31.3498
2014,"Trousdale County","05000US47169",31.3492
2013,"Wilson County","05000US48493",31.3405
2014,"Owen County","05000US18119",31.3305
2014,"Kaufman County, TX","05000US48257",31.3262
2013,"Edmonson County","05000US21061",31.3247
2014,"Maricao Municipio","05000US72093",31.3234
2013,"Chilton County","05000US01021",31.3201
2014,"Fayette County","05000US47047",31.3134
2013,"Isanti County","05000US27059",31.3126
2014,"Chisago County","05000US27025",31.3121
2013,"Middlesex County, NJ","05000US34023",31.3099
2014,"Plymouth County, MA","05000US25023",31.3028
2014,"Powhatan County","05000US51145",31.3027
2015,"Williamsburg County","05000US45089",31.2943
2015,"Plymouth County, MA","05000US25023",31.2788
2015,"Hancock County","05000US47067",31.2776
2015,"Norfolk County, MA","05000US25021",31.2751
2014,"Philadelphia County, PA","05000US42101",31.2743
2015,"Will County, IL","05000US17197",31.2631
2015,"Westchester County, NY","05000US36119",31.2582
2014,"Vinton County","05000US39163",31.2497
