year,geo_name,geo,median_property_value,median_property_value_moe
2013,"Anne Arundel County, MD","05000US24003",340000.0,2107.0
2015,"Queen Anne's County","05000US24035",339900.0,7985.0
2013,"La Plata County","05000US08067",339400.0,8056.0
2015,"Sitka City and Borough","05000US02220",338600.0,13747.0
2013,"Goochland County","05000US51075",338500.0,18169.0
2014,"Hudson County, NJ","05000US34017",337900.0,3799.0
2014,"Clarke County","05000US51043",337700.0,14898.0
2015,"Elbert County","05000US08039",337400.0,10415.0
2014,"Williamson County, TN","05000US47187",336400.0,5818.0
2015,"Passaic County, NJ","05000US34031",336100.0,3013.0
2014,"Sitka City and Borough","05000US02220",335800.0,16027.0
2013,"Douglas County, CO","05000US08035",335600.0,3018.0
2015,"Hudson County, NJ","05000US34017",335300.0,3603.0
2013,"Williamson County, TN","05000US47187",334900.0,5768.0
2015,"Anne Arundel County, MD","05000US24003",334100.0,2915.0
2013,"Elbert County","05000US08039",333600.0,9428.0
2013,"Alpine County","05000US06003",333600.0,56963.0
2015,"Prince William County, VA","05000US51153",333100.0,3135.0
2014,"La Plata County","05000US08067",333100.0,7376.0
2014,"Anne Arundel County, MD","05000US24003",333100.0,2665.0
2015,"La Plata County","05000US08067",332700.0,7205.0
2013,"Plymouth County, MA","05000US25023",332100.0,2415.0
2014,"Bristol County","05000US44001",330600.0,7886.0
2015,"Bristol County","05000US44001",330100.0,9012.0
2013,"Middlesex County, NJ","05000US34023",330000.0,1835.0
2013,"Gunnison County","05000US08051",329500.0,24893.0
2015,"Clarke County","05000US51043",329500.0,15013.0
2015,"Plymouth County, MA","05000US25023",328600.0,2725.0
2014,"Plymouth County, MA","05000US25023",328200.0,2722.0
2013,"Talbot County","05000US24041",327400.0,11574.0
2014,"Elbert County","05000US08039",327300.0,9719.0
2013,"James City County","05000US51095",327100.0,7376.0
2013,"Carroll County, MD","05000US24013",325900.0,3734.0
2015,"Chester County, PA","05000US42029",325800.0,2713.0
2014,"Gunnison County","05000US08051",325800.0,21113.0
2015,"Yolo County, CA","05000US06113",325700.0,5858.0
2013,"Chester County, PA","05000US42029",325200.0,3315.0
2014,"Middlesex County, NJ","05000US34023",325000.0,2109.0
2014,"Goochland County","05000US51075",324800.0,20649.0
2015,"Skagway Municipality","05000US02230",324600.0,20106.0
2014,"Mono County","05000US06051",324600.0,57304.0
2014,"Talbot County","05000US24041",324100.0,10075.0
2013,"Mendocino County","05000US06045",323600.0,9995.0
2014,"Chester County, PA","05000US42029",323600.0,2758.0
2015,"Juneau City and Borough","05000US02110",323500.0,9977.0
2014,"Prince William County, VA","05000US51153",323400.0,3335.0
2015,"Middlesex County, NJ","05000US34023",323300.0,1757.0
2013,"Sitka City and Borough","05000US02220",323200.0,19320.0
2014,"Skagway Municipality","05000US02230",323100.0,24768.0
2014,"Carroll County, MD","05000US24013",322000.0,4021.0
2013,"Washington County, RI","05000US44009",321900.0,5361.0
2013,"Hood River County","05000US41027",321700.0,18671.0
2013,"Prince William County, VA","05000US51153",321400.0,2994.0
2015,"Carroll County, MD","05000US24013",321300.0,4165.0
2015,"Hood River County","05000US41027",321300.0,13969.0
2015,"Williamsburg city","05000US51830",320600.0,27486.0
2014,"James City County","05000US51095",320000.0,9183.0
2015,"Talbot County","05000US24041",319500.0,11970.0
2015,"Gunnison County","05000US08051",319200.0,22273.0
2013,"Albemarle County, VA","05000US51003",319200.0,9181.0
2015,"James City County","05000US51095",319100.0,10042.0
2015,"Goochland County","05000US51075",318400.0,22277.0
2014,"Juneau City and Borough","05000US02110",318000.0,12140.0
2015,"Fredericksburg city","05000US51630",317900.0,14839.0
2014,"Yolo County, CA","05000US06113",317700.0,6974.0
2014,"Albemarle County, VA","05000US51003",317300.0,10409.0
2014,"Fredericksburg city","05000US51630",317000.0,11605.0
2013,"York County","05000US51199",316800.0,7548.0
2015,"Wasatch County","05000US49051",316800.0,14440.0
2014,"Washington County, RI","05000US44009",314900.0,5587.0
2013,"Yolo County, CA","05000US06113",314300.0,6525.0
2013,"Fredericksburg city","05000US51630",314300.0,15935.0
2015,"Albemarle County, VA","05000US51003",313800.0,10219.0
2014,"Alpine County","05000US06003",313800.0,52196.0
2014,"York County","05000US51199",313100.0,7836.0
2015,"Mono County","05000US06051",313000.0,55723.0
2013,"Cape May County","05000US34009",312800.0,6160.0
2015,"York County","05000US51199",312600.0,6630.0
2013,"Williamsburg city","05000US51830",311800.0,31968.0
2015,"Washington County, RI","05000US44009",311600.0,6122.0
2014,"Mendocino County","05000US06045",310300.0,10836.0
2013,"Bucks County, PA","05000US42017",309900.0,2600.0
2013,"Juneau City and Borough","05000US02110",309900.0,12386.0
2013,"Hawaii County, HI","05000US15001",309800.0,7977.0
2014,"Hood River County","05000US41027",309500.0,19064.0
