year,geo_name,geo,hiv_prevalence_rate
2017,"Sioux County","05000US38085",None
2016,"Sioux County","05000US38085",None
2016,"Slope County","05000US38087",None
2015,"Slope County","05000US38087",None
2017,"Slope County","05000US38087",None
2015,"Stark County","05000US38089",None
2016,"Stark County","05000US38089",None
2015,"Steele County","05000US38091",None
2017,"Steele County","05000US38091",None
2016,"Steele County","05000US38091",None
2017,"Stutsman County","05000US38093",None
2016,"Stutsman County","05000US38093",None
2015,"Stutsman County","05000US38093",None
2017,"Towner County","05000US38095",None
2015,"Towner County","05000US38095",None
2016,"Towner County","05000US38095",None
2016,"Traill County","05000US38097",None
2015,"Traill County","05000US38097",None
2017,"Traill County","05000US38097",None
2017,"Walsh County","05000US38099",None
2015,"Walsh County","05000US38099",None
2016,"Walsh County","05000US38099",None
2015,"Ward County","05000US38101",None
2016,"Ward County","05000US38101",None
2017,"Wells County","05000US38103",None
2015,"Wells County","05000US38103",None
2016,"Wells County","05000US38103",None
2015,"Williams County","05000US38105",None
2016,"Williams County","05000US38105",None
2017,"Williams County","05000US38105",None
2017,"Saunders County","05000US31155",None
2015,"Saunders County","05000US31155",None
2016,"Saunders County","05000US31155",None
2016,"Saline County","05000US31151",None
2015,"Saline County","05000US31151",None
2017,"Rock County","05000US31149",None
2015,"Rock County","05000US31149",None
2016,"Rock County","05000US31149",None
2016,"Richardson County","05000US31147",None
2017,"Richardson County","05000US31147",None
2015,"Richardson County","05000US31147",None
2015,"Red Willow County","05000US31145",None
2017,"Red Willow County","05000US31145",None
2016,"Red Willow County","05000US31145",None
2017,"Polk County","05000US31143",None
2016,"Polk County","05000US31143",None
2015,"Polk County","05000US31143",None
2016,"Pierce County","05000US31139",None
2017,"Pierce County","05000US31139",None
2015,"Pierce County","05000US31139",None
2015,"Phelps County","05000US31137",None
2017,"Phelps County","05000US31137",None
2016,"Phelps County","05000US31137",None
2016,"Perkins County","05000US31135",None
2015,"Perkins County","05000US31135",None
2017,"Perkins County","05000US31135",None
2015,"Pawnee County","05000US31133",None
2017,"Pawnee County","05000US31133",None
2016,"Pawnee County","05000US31133",None
2015,"Otoe County","05000US31131",None
2016,"Otoe County","05000US31131",None
2017,"Nuckolls County","05000US31129",None
2015,"Nuckolls County","05000US31129",None
2016,"Nuckolls County","05000US31129",None
2016,"Nemaha County","05000US31127",None
2017,"Nemaha County","05000US31127",None
2015,"Nemaha County","05000US31127",None
2016,"Nance County","05000US31125",None
2017,"Nance County","05000US31125",None
2015,"Nance County","05000US31125",None
2015,"Morrill County","05000US31123",None
2016,"Morrill County","05000US31123",None
2017,"Morrill County","05000US31123",None
2016,"Merrick County","05000US31121",None
2015,"Merrick County","05000US31121",None
2017,"Merrick County","05000US31121",None
2016,"McPherson County","05000US31117",None
2017,"McPherson County","05000US31117",None
2015,"McPherson County","05000US31117",None
2017,"Loup County","05000US31115",None
2016,"Loup County","05000US31115",None
2015,"Loup County","05000US31115",None
2015,"Logan County","05000US31113",None
2017,"Logan County","05000US31113",None
2016,"Logan County","05000US31113",None
2017,"Knox County","05000US31107",None
2015,"Knox County","05000US31107",None
2016,"Knox County","05000US31107",None
2016,"Kimball County","05000US31105",None
2017,"Kimball County","05000US31105",None
2015,"Kimball County","05000US31105",None
2017,"Keya Paha County","05000US31103",None
2015,"Keya Paha County","05000US31103",None
2016,"Keya Paha County","05000US31103",None
2016,"Keith County","05000US31101",None
2015,"Keith County","05000US31101",None
2017,"Keith County","05000US31101",None
2015,"Kearney County","05000US31099",None
2016,"Kearney County","05000US31099",None
2017,"Kearney County","05000US31099",None
2016,"Johnson County","05000US31097",None
2017,"Johnson County","05000US31097",None
2015,"Johnson County","05000US31097",None
2016,"Jefferson County","05000US31095",None
2015,"Jefferson County","05000US31095",None
2017,"Jefferson County","05000US31095",None
2016,"Howard County","05000US31093",None
2017,"Howard County","05000US31093",None
2015,"Howard County","05000US31093",None
2017,"Hooker County","05000US31091",None
2016,"Hooker County","05000US31091",None
2015,"Hooker County","05000US31091",None
2015,"Holt County","05000US31089",None
2016,"Holt County","05000US31089",None
2016,"Monroe County","05000US39111",None
2015,"Monroe County","05000US39111",None
2017,"Monroe County","05000US39111",None
2017,"Holt County","05000US31089",None
2017,"Hitchcock County","05000US31087",None
2015,"Hitchcock County","05000US31087",None
2016,"Hitchcock County","05000US31087",None
2016,"Hayes County","05000US31085",None
2015,"Hayes County","05000US31085",None
2017,"Hayes County","05000US31085",None
2017,"Harlan County","05000US31083",None
2015,"Harlan County","05000US31083",None
2016,"Harlan County","05000US31083",None
2017,"Hamilton County","05000US31081",None
2015,"Hamilton County","05000US31081",None
2016,"Hamilton County","05000US31081",None
2017,"Greeley County","05000US31077",None
2015,"Greeley County","05000US31077",None
2016,"Greeley County","05000US31077",None
2015,"Grant County","05000US31075",None
2017,"Grant County","05000US31075",None
2016,"Grant County","05000US31075",None
2016,"Gosper County","05000US31073",None
2015,"Gosper County","05000US31073",None
2017,"Gosper County","05000US31073",None
2016,"Garfield County","05000US31071",None
2017,"Garfield County","05000US31071",None
2015,"Garfield County","05000US31071",None
2015,"Garden County","05000US31069",None
2016,"Garden County","05000US31069",None
2017,"Garden County","05000US31069",None
2017,"Furnas County","05000US31065",None
2016,"Furnas County","05000US31065",None
2015,"Furnas County","05000US31065",None
2016,"Frontier County","05000US31063",None
2015,"Frontier County","05000US31063",None
2017,"Frontier County","05000US31063",None
2017,"Franklin County","05000US31061",None
